,image_id,trait_type,value
323,55,Earring,Gold Stud
324,55,Fur,Cheetah
325,55,Eyes,Sunglasses
326,55,Hat,Bunny Ears
327,55,Mouth,Grin Multicolored
328,56,Background,Yellow
329,56,Hat,Commie Hat
330,56,Eyes,Crazy
331,56,Fur,Brown
332,56,Mouth,Dumbfounded
333,56,Clothes,Guayabera
334,57,Fur,Dark Brown
335,57,Hat,Seaman's Hat
336,57,Eyes,Sad
337,57,Clothes,Bayc T Red
338,57,Earring,Silver Stud
339,57,Background,Army Green
340,57,Mouth,Phoneme L
341,58,Clothes,Navy Striped Tee
342,58,Fur,Zombie
343,58,Hat,Commie Hat
344,58,Mouth,Discomfort
345,58,Eyes,Angry
346,58,Background,Yellow
347,59,Fur,Red
348,59,Mouth,Phoneme Wah
349,59,Clothes,Navy Striped Tee
350,59,Background,Gray
351,59,Eyes,Wide Eyed
352,60,Mouth,Bored Unshaven Cigar
353,60,Background,Aquamarine
354,60,Clothes,Bayc T Black
355,60,Fur,Pink
356,60,Eyes,Scumbag
357,61,Fur,Cream
358,61,Background,Aquamarine
359,61,Mouth,Bored Cigarette
360,61,Eyes,Eyepatch
361,61,Clothes,Bone Tee
362,62,Fur,Cream
363,62,Background,Aquamarine
364,62,Eyes,Heart
365,62,Mouth,Rage
366,62,Clothes,Tanktop
367,63,Fur,Zombie
368,63,Clothes,Sailor Shirt
369,63,Background,Blue
370,63,Mouth,Grin
371,63,Hat,Bunny Ears
372,63,Eyes,Sunglasses
373,64,Clothes,Navy Striped Tee
374,64,Eyes,3d
375,64,Mouth,Bored
376,64,Background,Purple
377,64,Hat,Army Hat
378,64,Fur,Brown
379,64,Earring,Gold Hoop
380,65,Clothes,Stunt Jacket
381,65,Eyes,Bored
382,65,Mouth,Bored Cigarette
383,65,Fur,Blue
384,65,Background,New Punk Blue
385,66,Fur,Pink
386,66,Eyes,Bored
387,66,Mouth,Bored Cigarette
388,66,Earring,Cross
389,66,Clothes,Blue Dress
390,66,Background,Army Green
391,66,Hat,Bayc Flipped Brim
392,67,Fur,Black
393,67,Eyes,Sleepy
394,67,Background,Orange
395,67,Mouth,Grin
396,67,Clothes,Bayc T Red
397,68,Eyes,Bloodshot
398,68,Mouth,Bored Unshaven Cigarette
399,68,Clothes,Black T
400,68,Hat,Ww2 Pilot Helm
401,68,Background,Orange
402,68,Fur,Blue
403,69,Hat,Seaman's Hat
404,69,Background,Orange
405,69,Mouth,Phoneme  ooo
406,69,Fur,Dark Brown
407,69,Eyes,Sad
408,70,Fur,Brown
409,70,Clothes,Bone Necklace
410,70,Eyes,Sunglasses
411,70,Background,Purple
412,70,Mouth,Phoneme  ooo
413,71,Eyes,Bloodshot
414,71,Fur,Cheetah
415,71,Clothes,Stunt Jacket
416,71,Background,Orange
417,71,Hat,Bowler
418,71,Mouth,Bored
419,72,Eyes,Bloodshot
420,72,Clothes,Prison Jumpsuit
421,72,Background,Yellow
422,72,Earring,Gold Stud
423,72,Hat,Horns
424,72,Mouth,Bored
425,72,Fur,Blue
426,73,Eyes,Sad
427,73,Fur,Solid Gold
428,73,Clothes,Work Vest
429,73,Hat,Bandana Blue
430,73,Background,Army Green
431,73,Mouth,Rage
432,73,Earring,Gold Stud
433,74,Hat,Bowler
434,74,Background,Purple
435,74,Clothes,Guayabera
436,74,Mouth,Phoneme Vuh
437,74,Eyes,Angry
438,74,Fur,Death Bot
439,75,Hat,S&m Hat
440,75,Fur,Golden Brown
441,75,Eyes,Closed
442,75,Mouth,Discomfort
443,75,Clothes,Bayc T Red
444,75,Background,Orange
445,76,Mouth,Grin
446,76,Eyes,Bored
447,76,Clothes,Toga
448,76,Fur,Brown
449,76,Background,New Punk Blue
450,76,Hat,Fez
451,77,Clothes,Wool Turtleneck
452,77,Background,Yellow
453,77,Hat,Beanie
454,77,Mouth,Dumbfounded
455,77,Fur,Red
456,77,Eyes,Coins
457,78,Background,Yellow
458,78,Clothes,Lab Coat
459,78,Fur,Black
460,78,Hat,Fez
461,78,Eyes,3d
462,78,Mouth,Grin
463,79,Background,Army Green
464,79,Eyes,Bored
465,79,Mouth,Bored
466,79,Clothes,Lab Coat
467,79,Fur,Dark Brown
468,80,Hat,Horns
469,80,Background,Orange
470,80,Clothes,Tanktop
471,80,Fur,Brown
472,80,Earring,Diamond Stud
473,80,Eyes,Sad
474,80,Mouth,Bored Unshaven
475,81,Background,Blue
476,81,Fur,Red
477,81,Eyes,Blindfold
478,81,Mouth,Discomfort
479,81,Clothes,Cowboy Shirt
480,82,Clothes,Service
481,82,Earring,Silver Hoop
482,82,Background,Army Green
483,82,Mouth,Jovial
484,82,Fur,Cream
485,82,Eyes,Sad
486,83,Clothes,Tweed Suit
487,83,Background,Blue
488,83,Hat,Ww2 Pilot Helm
489,83,Eyes,Coins
490,83,Mouth,Bored Unshaven
491,83,Fur,Cream
492,84,Fur,Brown
493,84,Eyes,Coins
494,84,Mouth,Bored Unshaven
495,84,Clothes,Hawaiian
496,84,Background,New Punk Blue
497,84,Hat,Ww2 Pilot Helm
498,85,Clothes,Admirals Coat
499,85,Mouth,Grin
500,85,Fur,Tan
501,85,Background,Blue
502,85,Eyes,Bloodshot
503,85,Hat,Bowler
504,86,Clothes,Tuxedo Tee
505,86,Eyes,Bored
506,86,Background,New Punk Blue
507,86,Fur,Zombie
508,86,Earring,Gold Hoop
509,86,Mouth,Bored
510,87,Hat,Bunny Ears
511,87,Fur,Cheetah
512,87,Eyes,Sunglasses
513,87,Clothes,Guayabera
514,87,Mouth,Bored Unshaven
515,87,Background,Aquamarine
516,88,Earring,Gold Hoop
517,88,Eyes,Wide Eyed
518,88,Mouth,Bored Unshaven
519,88,Hat,Horns
520,88,Clothes,Pimp Coat
521,88,Background,Blue
522,88,Fur,Black
523,89,Hat,Commie Hat
524,89,Background,Gray
525,89,Eyes,3d
526,89,Mouth,Bored Dagger
527,89,Fur,Black
528,90,Clothes,Tweed Suit
529,90,Mouth,Grin
530,90,Hat,Prussian Helmet
531,90,Earring,Silver Hoop
532,90,Background,Army Green
533,90,Eyes,Hypnotized
534,90,Fur,Golden Brown
535,91,Background,Army Green
536,91,Mouth,Bored Cigarette
537,91,Clothes,Black Holes T
538,91,Fur,Brown
539,91,Eyes,Sleepy
540,91,Hat,Beanie
541,92,Mouth,Jovial
542,92,Background,Blue
543,92,Fur,Pink
544,92,Hat,Beanie
545,92,Eyes,Heart
546,93,Eyes,Bored
547,93,Mouth,Bored Unshaven Cigarette
548,93,Clothes,Hip Hop
549,93,Hat,Fez
550,93,Background,Purple
551,93,Fur,White
552,94,Clothes,Black Holes T
553,94,Mouth,Bored Unshaven Kazoo
554,94,Background,Aquamarine
555,94,Hat,Beanie
556,94,Fur,Zombie
557,94,Eyes,Closed
558,95,Hat,S&m Hat
559,95,Background,Yellow
560,95,Clothes,Lumberjack Shirt
561,95,Fur,Tan
562,95,Eyes,Scumbag
563,95,Mouth,Bored
564,96,Eyes,Sleepy
565,96,Hat,Girl's Hair Short
566,96,Background,Yellow
567,96,Fur,Robot
568,96,Clothes,Stunt Jacket
569,96,Mouth,Bored Unshaven Cigarette
570,97,Background,Blue
571,97,Fur,Dark Brown
572,97,Hat,Commie Hat
573,97,Mouth,Bored
574,97,Eyes,Heart
575,98,Eyes,Bored
576,98,Hat,Spinner Hat
577,98,Mouth,Rage
578,98,Background,Gray
579,98,Clothes,Stunt Jacket
580,98,Fur,Death Bot
581,99,Clothes,Black Holes T
582,99,Background,Army Green
583,99,Hat,Sushi Chef Headband
584,99,Fur,Dark Brown
585,99,Eyes,Closed
586,99,Mouth,Grin
587,99,Earring,Silver Hoop
588,100,Background,Yellow
589,100,Mouth,Bored Cigarette
590,100,Hat,Party Hat 2
591,100,Fur,Dark Brown
592,100,Eyes,Wide Eyed
593,101,Clothes,Navy Striped Tee
594,101,Hat,Fisherman's Hat
595,101,Fur,Gray
596,101,Background,Army Green
597,101,Eyes,Eyepatch
598,101,Mouth,Bored
599,102,Fur,Gray
600,102,Clothes,Biker Vest
601,102,Background,Aquamarine
602,102,Mouth,Bored
603,102,Eyes,Bored
604,102,Hat,Irish Boho
605,103,Fur,Black
606,103,Clothes,Leather Jacket
607,103,Hat,Short Mohawk
608,103,Mouth,Phoneme L
609,103,Eyes,Sleepy
610,103,Background,Purple
611,104,Mouth,Bored Pipe
612,104,Fur,Brown
613,104,Eyes,Holographic
614,104,Clothes,Bayc T Black
615,104,Hat,Laurel Wreath
616,104,Background,Aquamarine
617,105,Earring,Silver Hoop
618,105,Mouth,Rage
619,105,Eyes,Coins
620,105,Clothes,Striped Tee
621,105,Background,Aquamarine
622,105,Fur,Black
623,105,Hat,Seaman's Hat
624,106,Mouth,Bored
625,106,Fur,Cheetah
626,106,Eyes,Crazy
627,106,Clothes,Tuxedo Tee
628,106,Background,New Punk Blue
629,106,Hat,Bunny Ears
630,107,Mouth,Bored
631,107,Fur,Red
632,107,Clothes,Space Suit
633,107,Background,Blue
634,107,Eyes,Zombie
635,107,Hat,Short Mohawk
636,108,Earring,Gold Stud
637,108,Fur,Dark Brown
638,108,Mouth,Grin
639,108,Background,Purple
640,108,Eyes,X Eyes
641,108,Hat,Sea Captain's Hat
642,109,Mouth,Bored Cigarette
643,109,Earring,Silver Stud
644,109,Clothes,Bayc T Black
645,109,Background,Orange
646,109,Eyes,Eyepatch
647,109,Fur,Dark Brown
648,110,Background,Yellow
649,110,Eyes,Bloodshot
650,110,Mouth,Bored Unshaven
651,110,Fur,Tan
652,110,Earring,Cross
653,110,Clothes,Striped Tee
654,110,Hat,Beanie
655,111,Fur,Brown
656,111,Hat,Bayc Flipped Brim
657,111,Clothes,Leather Jacket
658,111,Eyes,Angry
659,111,Mouth,Bored Unshaven
660,111,Background,Orange
661,112,Fur,Cream
662,112,Background,New Punk Blue
663,112,Hat,Cowboy Hat
664,112,Eyes,X Eyes
665,112,Mouth,Bored
666,113,Background,Gray
667,113,Eyes,Zombie
668,113,Fur,Black
669,113,Mouth,Bored
670,113,Clothes,Navy Striped Tee
671,113,Hat,Horns
672,114,Eyes,Holographic
673,114,Fur,Dark Brown
674,114,Earring,Silver Hoop
675,114,Mouth,Bored Cigarette
676,114,Clothes,Bone Tee
677,114,Hat,Seaman's Hat
678,114,Background,Yellow
679,115,Fur,Cream
680,115,Background,Purple
681,115,Eyes,Bloodshot
682,115,Mouth,Bored Cigar
683,115,Clothes,Sleeveless T
684,115,Hat,Bayc Hat Black
685,116,Fur,Black
686,116,Background,Aquamarine
687,116,Clothes,Sleeveless T
688,116,Mouth,Bored Unshaven Cigarette
689,116,Eyes,Coins
690,117,Hat,Beanie
691,117,Clothes,Navy Striped Tee
692,117,Fur,Tan
693,117,Mouth,Bored Cigarette
694,117,Background,Blue
695,117,Eyes,Cyborg
696,118,Eyes,Blue Beams
697,118,Background,New Punk Blue
698,118,Fur,Tan
699,118,Mouth,Bored Kazoo
700,118,Clothes,Navy Striped Tee
701,119,Clothes,Hawaiian
702,119,Background,Blue
703,119,Earring,Silver Stud
704,119,Eyes,Angry
705,119,Hat,Beanie
706,119,Mouth,Phoneme L
707,119,Fur,Gray
708,120,Fur,Brown
709,120,Clothes,Work Vest
710,120,Background,Aquamarine
711,120,Mouth,Bored Pizza
712,120,Earring,Silver Hoop
713,120,Eyes,Heart
714,120,Hat,Sea Captain's Hat
715,121,Earring,Gold Stud
716,121,Fur,Brown
717,121,Eyes,Cyborg
718,121,Hat,Seaman's Hat
719,121,Mouth,Bored Unshaven
720,121,Background,Blue
721,122,Fur,Pink
722,122,Eyes,Heart
723,122,Clothes,Service
724,122,Earring,Silver Stud
725,122,Background,Orange
726,122,Mouth,Bored Cigarette
727,123,Clothes,Black Holes T
728,123,Fur,White
729,123,Eyes,Coins
730,123,Background,New Punk Blue
731,123,Mouth,Bored Cigar
732,123,Hat,Spinner Hat
733,124,Fur,White
734,124,Eyes,Eyepatch
735,124,Background,Gray
736,124,Mouth,Bored Cigarette
737,124,Clothes,Hawaiian
738,124,Hat,Short Mohawk
739,125,Mouth,Bored Cigarette
740,125,Eyes,Coins
741,125,Fur,Golden Brown
742,125,Background,Orange
743,125,Hat,Army Hat
744,126,Clothes,Navy Striped Tee
745,126,Background,Army Green
746,126,Eyes,Coins
747,126,Fur,Zombie
748,126,Earring,Silver Hoop
749,126,Hat,Safari
750,126,Mouth,Grin
751,127,Mouth,Grin
752,127,Background,Orange
753,127,Fur,Cream
754,127,Hat,S&m Hat
755,127,Eyes,Crazy
756,128,Mouth,Bored
757,128,Background,Yellow
758,128,Clothes,Leather Punk Jacket
759,128,Eyes,Hypnotized
760,128,Fur,Gray
761,128,Hat,Trippy Captain's Hat
762,129,Background,New Punk Blue
763,129,Eyes,Bored
764,129,Fur,Pink
765,129,Hat,Baby's Bonnet
766,129,Clothes,Tanktop
767,129,Mouth,Rage
768,130,Eyes,Bored
769,130,Mouth,Bored
770,130,Clothes,Vietnam Jacket
771,130,Fur,Pink
772,130,Background,Aquamarine
773,131,Mouth,Bored
774,131,Clothes,Bone Necklace
775,131,Background,Gray
776,131,Fur,Dark Brown
777,131,Eyes,Bored
778,132,Background,Army Green
779,132,Fur,Red
780,132,Mouth,Bored Unshaven Kazoo
781,132,Earring,Silver Stud
782,132,Hat,Girl's Hair Pink
783,132,Eyes,Wide Eyed
784,132,Clothes,Black Holes T
785,133,Fur,Brown
786,133,Background,Aquamarine
787,133,Clothes,Black Holes T
788,133,Mouth,Bored Unshaven
789,133,Eyes,Bored
790,134,Clothes,Sleeveless Logo T
791,134,Mouth,Bored Unshaven
792,134,Fur,Dark Brown
793,134,Eyes,Laser Eyes
794,134,Hat,Halo
795,134,Background,Army Green
796,135,Hat,S&m Hat
797,135,Earring,Gold Stud
798,135,Eyes,Sad
799,135,Mouth,Bored
800,135,Fur,Pink
801,135,Background,Blue
802,135,Clothes,Lumberjack Shirt
803,136,Clothes,Hawaiian
804,136,Fur,Tan
805,136,Eyes,Heart
806,136,Mouth,Phoneme Vuh
807,136,Background,Blue
808,137,Hat,Short Mohawk
809,137,Fur,Death Bot
810,137,Background,New Punk Blue
811,137,Mouth,Bored
812,137,Clothes,Tanktop
813,137,Eyes,Crazy
814,138,Background,Orange
815,138,Earring,Cross
816,138,Clothes,Bayc T Black
817,138,Eyes,Bloodshot
818,138,Fur,Dark Brown
819,138,Hat,Halo
820,138,Mouth,Phoneme Vuh
821,139,Mouth,Bored Unshaven
822,139,Clothes,Puffy Vest
823,139,Fur,Zombie
824,139,Background,Army Green
825,139,Eyes,X Eyes
826,139,Hat,Army Hat
827,140,Clothes,Sailor Shirt
828,140,Background,Yellow
829,140,Fur,Cheetah
830,140,Eyes,Eyepatch
831,140,Mouth,Bored Unshaven
832,141,Eyes,Closed
833,141,Earring,Silver Hoop
834,141,Clothes,Hawaiian
835,141,Fur,Cream
836,141,Mouth,Dumbfounded
837,141,Background,Aquamarine
838,142,Earring,Gold Hoop
839,142,Hat,Bayc Hat Black
840,142,Background,Blue
841,142,Eyes,Sleepy
842,142,Mouth,Bored
843,142,Clothes,Black T
844,142,Fur,Blue
845,143,Clothes,Bayc T Red
846,143,Mouth,Bored
847,143,Background,Army Green
848,143,Fur,Cream
849,143,Hat,Beanie
850,143,Eyes,Bored
851,144,Eyes,Wide Eyed
852,144,Hat,Fisherman's Hat
853,144,Fur,White
854,144,Mouth,Phoneme Vuh
855,144,Background,Orange
856,144,Clothes,Toga
857,145,Background,Orange
858,145,Hat,Prussian Helmet
859,145,Mouth,Bored Unshaven
860,145,Fur,Black
861,145,Clothes,Bone Necklace
862,145,Eyes,3d
863,146,Clothes,Sleeveless Logo T
864,146,Mouth,Phoneme L
865,146,Background,Gray
866,146,Hat,Faux Hawk
867,146,Eyes,Laser Eyes
868,146,Fur,Zombie
869,147,Background,Orange
870,147,Fur,Zombie
871,147,Earring,Silver Hoop
872,147,Eyes,Bored
873,147,Mouth,Bored
874,147,Clothes,Black Holes T
875,148,Background,Aquamarine
876,148,Fur,Black
877,148,Clothes,Striped Tee
878,148,Earring,Gold Stud
879,148,Eyes,Blindfold
880,148,Mouth,Bored Cigar
881,149,Fur,White
882,149,Mouth,Bored Cigarette
883,149,Eyes,3d
884,149,Earring,Silver Hoop
885,149,Background,Orange
886,150,Clothes,Cowboy Shirt
887,150,Fur,Dark Brown
888,150,Mouth,Bored
889,150,Background,Gray
890,150,Eyes,Bored
891,150,Hat,Sushi Chef Headband
892,151,Mouth,Bored Unshaven Cigarette
893,151,Clothes,Bone Tee
894,151,Fur,Blue
895,151,Eyes,Blindfold
896,151,Background,Gray
897,151,Hat,Seaman's Hat
898,152,Fur,Brown
899,152,Earring,Silver Stud
900,152,Mouth,Bored
901,152,Eyes,Sad
902,152,Hat,Girl's Hair Pink
903,152,Background,Army Green
904,152,Clothes,Tanktop
905,153,Mouth,Grin
906,153,Eyes,Bored
907,153,Clothes,Navy Striped Tee
908,153,Background,Orange
909,153,Fur,Blue
910,154,Clothes,Toga
911,154,Hat,Girl's Hair Short
912,154,Background,Army Green
913,154,Fur,Golden Brown
914,154,Eyes,Bloodshot
915,154,Mouth,Bored
916,155,Background,Blue
917,155,Mouth,Grin
918,155,Eyes,Sunglasses
919,155,Earring,Silver Hoop
920,155,Hat,Vietnam Era Helmet
921,155,Clothes,Leather Punk Jacket
922,155,Fur,Dmt
923,156,Mouth,Bored Unshaven
924,156,Fur,Golden Brown
925,156,Hat,S&m Hat
926,156,Eyes,X Eyes
927,156,Background,Orange
928,156,Clothes,Tanktop
929,157,Fur,Dark Brown
930,157,Earring,Silver Stud
931,157,Background,Army Green
932,157,Clothes,Navy Striped Tee
933,157,Eyes,Bored
934,157,Mouth,Bored
935,158,Background,Purple
936,158,Fur,Dark Brown
937,158,Clothes,Black T
938,158,Eyes,Bored
939,158,Mouth,Bored Unshaven
940,158,Earring,Silver Hoop
941,159,Background,Aquamarine
942,159,Eyes,Sad
943,159,Fur,Zombie
944,159,Mouth,Bored
945,160,Eyes,X Eyes
946,160,Mouth,Bored
947,160,Background,Blue
948,160,Hat,Short Mohawk
949,160,Fur,Dark Brown
950,161,Fur,Black
951,161,Background,Yellow
952,161,Eyes,Sad
953,161,Hat,Commie Hat
954,161,Mouth,Grin
955,162,Fur,Noise
956,162,Clothes,Wool Turtleneck
957,162,Hat,Spinner Hat
958,162,Background,Blue
959,162,Eyes,Bloodshot
